1,11226;5325;13924;12804;13354
2,1844;8571;14685;6132;16363
3,6450;3698;3010;6697;8488
4,756;16608;9037;12623;4680
5,1301;1309;4875;15026;2679
6,954;691;267;807;810
7,9784;5161;14867;9428;13502
8,3359;16912;12445;6112;3191
9,7280;4513;14199;1677;4364
10,14707;8470;8515;2466;11850
11,2450;11028;1129;966;450
12,1929;4782;2452;4610;3027
13,6742;13209;11487;13468;15623
14,2136;2590;7792;2537;4459
15,14236;4078;14414;2968;12499
16,6308;6116;6155;11445;12003
17,5850;15744;8443;15078;4631
18,2720;12274;5439;9561;4962
19,13247;7768;4107;13725;3065
20,14177;13444;12651;12311;11013
21,5880;2579;1802;5888;5884
22,5438;5880;5882;1008;5896
23,711;1372;5782;3676;7011
24,12120;8755;13813;9693;11957
25,11684;9777;15349;5155;15288
26,1721;7555;12574;2160;958
27,4588;12104;4019;15863;6965
28,6810;6808;6799;6806;1941
29,5373;9392;5240;15364;5281
30,3316;10277;847;7520;3310
31,10781;1641;5953;4760;16786
32,14514;5161;610;7864;7191
33,9103;3295;4239;16649;14112
34,14239;16610;16569;16365;10650
35,16243;9982;9868;5721;334
36,5212;6044;4377;2259;4708
37,15207;10759;10900;11820;3741
38,5267;4755;1486;9529;1039
39,13010;14569;9215;6435;12865
40,5634;5628;5632;5630;5622
41,10130;8061;9064;10853;2778
42,3139;1449;4765;4143;2521
43,4258;4790;7585;1934;4252
44,7732;1866;10766;9721;10556
45,17;3429;8318;8924;6767
46,1884;1886;12925;9213;14061
47,16434;14636;16610;14277;16304
48,16702;1583;8815;7597;12166
49,11576;1079;15378;14276;14941
50,13143;16453;16665;7753;1575
51,6898;2494;1676;7472;14448
52,8297;189;4328;11189;7131
53,450;2310;4610;6022;4574
54,11819;6304;12740;6204;6115
55,5064;15280;2710;3308;5756
56,12527;10149;1538;15557;3192
57,9701;13272;2246;6809;15598
58,6441;12849;14789;16054;1239
59,14279;8987;8321;10908;12760
60,2227;5148;4982;9984;831
61,12119;6731;10263;11450;8797
62,14267;8566;8479;4344;5212
63,16384;5839;13554;10458;11310
64,16045;1505;2859;1419;4239
65,4117;13319;4695;14379;15126
66,5647;10271;13821;11319;8305
67,1146;1232;3237;1133;12325
68,14673;14490;11735;15217;13856
69,11433;11431;11435;11419;11437
70,16669;9819;15195;16462;9807
71,6568;4346;3850;3726;13455
72,13054;5373;7470;7827;3425
73,15951;12231;6560;639;4800
74,10660;7272;1781;10954;7705
75,9112;12050;14996;10637;16702
76,1558;1580;82;14554;14201
77,12108;15466;11131;1948;7959
78,12494;8653;850;3019;16293
79,13667;13713;13788;13715;13663
80,13364;13365;2462;5891;6014
81,6670;4027;5267;9289;3607
82,11269;7505;9352;7294;11317
83,605;596;644;812;618
84,4978;1344;7323;6679;4033
85,3232;4930;5738;6065;2732
86,1802;13306;9428;4530;7818
87,12271;11619;10464;13136;197
88,1827;1823;1833;1831;1821
89,2156;3288;4660;5144;10191
90,1364;5782;7350;1707;12015
